Automobile ID,Fuel ID,Fuel Configuration ID,Manufacturer ID,Weight Class ID,Category ID,Model,Model Year,City Range,Highway Range,City Fuel Economy,City Fuel Economy Units,Highway Fuel Economy,Highway Fuel Economy Units,City Gas Fuel Economy,Highway Gas Fuel Economy,Transmission Type,Engine Type,Engine Size,Engine Cylinder Count,Engine Description,Battery Type,Battery Voltage Amps,110v Charge Time,220v Charge Time,Warranty Info,Ordering Info,Description,Comments,Manufacturer,Manufacturer URL,Fuel Code,Fuel,Category,Fuel Configuration Name
11287,35,1,215,"",27,Cruze,2015,"","",27.0,mpg,46.0,mpg,"","",Auto,Diesel,2.0,4,2.0L I4 Diesel,"","","","","","","","",Chevrolet,http://www.chevrolet.com,BD,Biodiesel (B20),Sedan/Wagon,Dedicated
11422,11,5,215,"",29,Equinox,2015,"","",15.0,mpg,22.0,mpg,22.0,23.0,Auto,SI,2.4,4,2.4L I4,"","","","","","","","",Chevrolet,http://www.chevrolet.com,E85_GSLN,Ethanol (E85),SUV,Flexible Fuel
11423,11,5,215,"",29,Equinox,2015,"","","",mpg,"",mpg,"","",Auto,SI,3.6,6,3.6L V6,"","","","","","","","",Chevrolet,http://www.chevrolet.com,E85_GSLN,Ethanol (E85),SUV,Flexible Fuel
11285,35,1,215,"",9,Express 2500/3500,2015,"","","",mpg,"",mpg,"","",Auto,Diesel,6.6L,8,6.6L V8 Diesel,"","","","","","","","",Chevrolet,http://www.chevrolet.com,BD,Biodiesel (B20),Van,Dedicated
11304,3,1,215,"",9,Express 2500/3500,2015,"","","",mpg,"",mpg,"","",Auto,SI,6.0L,8,6.0L V8,"","","","","","","","",Chevrolet,http://www.chevrolet.com,CNG,CNG - Compressed Natural Gas,Van,Dedicated
11419,11,5,215,"",9,Express 2500/3500,2015,"","",8.0,mpg,11.0,mpg,11.0,16.0,Auto,SI,6.0,8,6.0L V8,"","","","","","","","",Chevrolet,http://www.chevrolet.com,E85_GSLN,Ethanol (E85),Van,Flexible Fuel
11286,35,1,215,"",17,Express 3500/4500,2015,"","","",mpg,"",mpg,"","",Auto,Diesel,6.6L,8,6.6l V8 Diesel,"","","","","","","","",Chevrolet,http://www.chevrolet.com,BD,Biodiesel (B20),Vocational/Cab Chassis,Dedicated
11327,55,1,215,"",17,Express 3500/4500,2015,"","","",mpg,"",mpg,"","",Auto,SI,6.0L,8,6.0L V8,"","","","","","","","",Chevrolet,http://www.chevrolet.com,LPG,Propane,Vocational/Cab Chassis,Dedicated
11305,3,1,215,"",17,Express 3500/4500,2015,"","","",mpg,"",mpg,"","",Auto,SI,6.0L,8,6.0L V8,"","","","","","","","",Chevrolet,http://www.chevrolet.com,CNG,CNG - Compressed Natural Gas,Vocational/Cab Chassis,Dedicated
11097,37,3,215,"",27,Impala,2015,"","","",NULL,"",NULL,"","",Auto,"",3.6L,6,3.6L V6,"","","","","","","","",Chevrolet,http://www.chevrolet.com,CNG_GSLN,CNG - Bi-fuel,Sedan/Wagon,Dual/Bi-Fueled
11424,11,5,215,"",27,Impala,2015,"","",14.0,mpg,20.0,19,29.0,"",Auto,SI,3.6,6,3.6L V6,"","","","","","","","",Chevrolet,http://www.chevrolet.com,E85_GSLN,Ethanol (E85),Sedan/Wagon,Flexible Fuel
11303,37,3,215,"",27,Impala,2015,"","","",mpg,"",mpg,"","",Auto,SI,3.6,6,3.6L V6,"","","","","","","","",Chevrolet,http://www.chevrolet.com,CNG_GSLN,CNG - Bi-fuel,Sedan/Wagon,Dual/Bi-Fueled
11425,11,5,215,"",27,Impala Limited Police,2015,"","",14.0,mpg,20.0,19,29.0,"",Auto,SI,3.6,6,3.6L V6,"","","","","","","","",Chevrolet,http://www.chevrolet.com,E85_GSLN,Ethanol (E85),Sedan/Wagon,Flexible Fuel
11401,11,5,215,"",25,Silverado 1500 2WD/4WD,2015,"","",12.0,mpg,17.0,mpg,16.0,23.0,Auto,SI,5.3,8,5.3L V8,"","","","","","","","",Chevrolet,http://www.chevrolet.com,E85_GSLN,Ethanol (E85),Truck,Flexible Fuel
11404,11,5,215,"",25,Silverado 1500 2WD/4WD,2015,"","",12.0,mpg,17.0,mpg,18.0,24.0,Auto,SI,4.3,6,4.3L V6,"","","","","","","","",Chevrolet,http://www.chevrolet.com,E85_GSLN,Ethanol (E85),Truck,Flexible Fuel
11407,11,5,215,"",17,Silverado 1500 Cab-chassis 2WD/4WD,2015,"","",11.0,mpg,15.0,mpg,16.0,21.0,Auto,SI,4.3,6,4.3L V6,"","","","","","","","",Chevrolet,http://www.chevrolet.com,E85_GSLN,Ethanol (E85),Vocational/Cab Chassis,Flexible Fuel
11409,11,5,215,"",17,Silverado 1500 Cab-chassis 2WD/4WD,2015,"","",11.0,mpg,15.0,mpg,15.0,20.0,Auto,SI,5.3,8,5.3L V8,"","","","","","","","",Chevrolet,http://www.chevrolet.com,E85_GSLN,Ethanol (E85),Vocational/Cab Chassis,Flexible Fuel
11405,11,5,215,"",25,Silverado 1500 Special Services 2WD/4WD,2015,"","",12.0,mpg,17.0,mpg,16.0,23.0,Auto,SI,5.3,8,5.3L V8,"","","","","","","","",Chevrolet,http://www.chevrolet.com,E85_GSLN,Ethanol (E85),Truck,Flexible Fuel
11410,11,5,215,"",25,Silverado 2500 2WD/4WD,2015,"","","",mpg,"",mpg,"","",Auto,SI,6.0,8,6.0L V8,"","","","","","","","",Chevrolet,http://www.chevrolet.com,E85_GSLN,Ethanol (E85),Truck,Flexible Fuel
11283,35,1,215,"",25,Silverado 2500/3500 HD (2WD/4WD),2015,"","","",mpg,"",mpg,"","",Auto,Diesel,6.6L,8,6.6L V8 Diesel,"","","","","","","","",Chevrolet,http://www.chevrolet.com,BD,Biodiesel (B20),Truck,Dedicated
11300,37,3,215,"",25,Silverado 2500/3500 HD (2WD/4WD),2015,"","","",mpg,"",mpg,"","",Auto,SI,6.0L,8,6.0L V8,"","","","","","","","",Chevrolet,http://www.chevrolet.com,CNG_GSLN,CNG - Bi-fuel,Truck,Dual/Bi-Fueled
11411,11,5,215,"",25,Silverado 3500 2WD/4WD,2015,"","","",mpg,"",mpg,"","",Auto,SI,6.0,8,6.0L V8,"","","","","","","","",Chevrolet,http://www.chevrolet.com,E85_GSLN,Ethanol (E85),Truck,Flexible Fuel
11284,35,1,215,"",17,Silverado 3500 HD (2WD/4WD),2015,"","","",mpg,"",mpg,"","",Auto,Diesel,6.6L,8,6.6L V8 Diesel,"","","","","","","","",Chevrolet,http://www.chevrolet.com,BD,Biodiesel (B20),Vocational/Cab Chassis,Dedicated
11345,41,1,215,"",27,Spark,2015,"","",128.0,Mpge,109.0,Mpge,"","",Auto,e-motor,104 kW,"","104 kW electric motor, 20 kWh battery","",20 kWh,"","","","","",82 mi all electric range,Chevrolet,http://www.chevrolet.com,ELEC,Electric,Sedan/Wagon,Dedicated
11414,11,5,215,"",29,Suburban 2WD/4WD,2015,"","",12.0,mpg,17.0,mpg,16.0,23.0,Auto,SI,5.3,8,5.3L V8,"","","","","","","","",Chevrolet,http://www.chevrolet.com,E85_GSLN,Ethanol (E85),SUV,Flexible Fuel
11417,11,5,215,"",29,Tahoe 2WD/4WD,2015,"","",12.0,mpg,17.0,mpg,16.0,23.0,Auto,SI,5.3,8,5.3L V8,"","","","","","","","",Chevrolet,http://www.chevrolet.com,E85_GSLN,Ethanol (E85),SUV,Flexible Fuel
11418,11,5,215,"",29,Tahoe Police 2WD/4WD,2015,"","",12.0,mpg,17.0,mpg,16.0,23.0,Auto,SI,5.3,8,5.3L V8,"","","","","","","","",Chevrolet,http://www.chevrolet.com,E85_GSLN,Ethanol (E85),SUV,Flexible Fuel
11333,57,9,215,"",27,Volt,2015,"","",98.0,Mpge combined electricity,"",NULL,35.0,40.0,Auto,"",1.4L,"","1.4L I4, 111 kW electric motor","","","","","","","",38 mi est. all electric range,Chevrolet,http://www.chevrolet.com,PHEV,Plug-in Hybrid Electric,Sedan/Wagon,Hybrid Electric
11430,11,5,223,"",27,200 ,2015,"","",17.0,mpg,28.0,mpg,23.0,36.0,Auto,SI,2.4,4,2.4L I4,"","","","","","","","",Chrysler,http://www.chrysler.com,E85_GSLN,Ethanol (E85),Sedan/Wagon,Flexible Fuel
11429,11,5,223,"",27,200 FWD/AWD,2015,"","",14.0,mpg,23.0,mpg,19.0,32.0,Auto,SI,3.6,6,3.6L V6,"","","","","","","","",Chrysler,http://www.chrysler.com,E85_GSLN,Ethanol (E85),Sedan/Wagon,Flexible Fuel
11472,11,5,223,"",27,300 RWD/AWD,2015,"","",14.0,mpg,23.0,mpg,19.0,31.0,Auto,SI,3.6,6,3.6L V6,"","","","","","","","",Chrysler,http://www.chrysler.com,E85_GSLN,Ethanol (E85),Sedan/Wagon,Flexible Fuel
11431,11,5,223,"",27,Dart,2015,"","",18.0,mpg,25.0,mpg,24.0,34.0,Auto,SI,2.4,4,2.4L I4,"","","","","","","","",Chrysler,http://www.chrysler.com,E85_GSLN,Ethanol (E85),Sedan/Wagon,Flexible Fuel
11432,11,5,223,"",9,Town & Country,2015,"","",12.0,mpg,18.0,mpg,17.0,25.0,Auto,SI,3.6,6,3.6L V6,"","","","","","","","",Chrysler,http://www.chrysler.com,E85_GSLN,Ethanol (E85),Van,Flexible Fuel
11436,11,5,225,"",27,Charger Police Pursuit,2015,"","","",mpg,"",mpg,"","",Auto,SI,3.6,6,3.6L V6,"","","","","","","","",Dodge,http://www.dodge.com,E85_GSLN,Ethanol (E85),Sedan/Wagon,Flexible Fuel
11473,11,5,225,"",27,Charger RWD/AWD,2015,"","",14.0,mpg,23.0,mpg,19.0,31.0,Auto,SI,3.6,6,3.6L V6,"","","","","","","","",Dodge,http://www.dodge.com,E85_GSLN,Ethanol (E85),Sedan/Wagon,Flexible Fuel
11437,11,5,225,"",29,Durango Police Special Service Vehicle,2015,"","","",mpg,"",mpg,"","",Auto,SI,3.6,6,3.6L V6,"","","","","","","","",Dodge,http://www.dodge.com,E85_GSLN,Ethanol (E85),SUV,Flexible Fuel
11434,11,5,225,"",29,Durango RWD/AWD,2015,"","",13.0,mpg,19.0,mpg,18.0,25.0,Auto,SI,3.6,6,3.6L V6,"","","","","","","","",Dodge,http://www.dodge.com,E85_GSLN,Ethanol (E85),SUV,Flexible Fuel
11433,11,5,225,"",9,Grand Caravan,2015,"","",12.0,mpg,18.0,mpg,17.0,25.0,Auto,SI,3.6,6,3.6L V6,"","","","","","","","",Dodge,http://www.dodge.com,E85_GSLN,Ethanol (E85),Van,Flexible Fuel
11435,11,5,225,"",29,Journey FWD,2015,"","",12.0,mpg,18.0,mpg,17.0,25.0,Auto,SI,3.6,6,3.6L V6,"","","","","","","","",Dodge,http://www.dodge.com,E85_GSLN,Ethanol (E85),SUV,Flexible Fuel
11346,41,1,379,"",27,500e,2015,"","",122.0,Mpge,108.0,Mpge,"","",Auto,e-motor,83 kW,"","83kW electric motor, 24 kWh battery","",24 kWh,"","","","","",87 mi all electric range,Fiat,http://www.fiatusa.com/,ELEC,Electric,Sedan/Wagon,Dedicated
11334,57,9,219,"",27,C-MAX Energi,2015,"","",88.0,Mpge Gas + Electric,"","",40.0,36.0,ECVT,"",2.0L,4,"2.0L I4, 68 kW electric motor","","","","","","","",20 mi est. all electric range,Ford,http://www.fordvehicles.com,PHEV,Plug-in Hybrid Electric,Sedan/Wagon,Hybrid Electric
11362,45,9,219,"",27,C-MAX Hybrid,2015,"","","","","","",42.0,37.0,ECVT,SI,2.0,4,2.0L I4,"","","","","","","","",Ford,http://www.fordvehicles.com,HYBR,Hybrid Electric,Sedan/Wagon,Hybrid Electric
11316,3,1,219,"",17,E-350/450,2015,"","","",mpg,"",mpg,"","",Auto,SI,6.8,10,6.8L V10 CNG/LPG Capable w/Prep Package,"","","","","","","","",Ford,http://www.fordvehicles.com,CNG,CNG - Compressed Natural Gas,Vocational/Cab Chassis,Dedicated
11319,55,1,219,"",17,E-350/450,2015,"","","",mpg,"",mpg,"","",Auto,SI,6.8,10,6.8L V10 CNG/LPG Capable w/Prep Package,"","","","","","","","",Ford,http://www.fordvehicles.com,LPG,Propane,Vocational/Cab Chassis,Dedicated
11320,55,1,219,"",17,E-350/450,2015,"","","",mpg,"",mpg,"","",Auto,SI,5.4,8,5.4L V8 CNG/LPG Capable w/Prep Package,"","","","","","","","",Ford,http://www.fordvehicles.com,LPG,Propane,Vocational/Cab Chassis,Dedicated
11315,3,1,219,"",17,E-350/450,2015,"","","",mpg,"",mpg,"","",Auto,SI,5.4,8,5.4L V8 CNG/LPG Capable w/Prep Package,"","","","","","","","",Ford,http://www.fordvehicles.com,CNG,CNG - Compressed Natural Gas,Vocational/Cab Chassis,Dedicated
11444,11,5,219,"",29,Expedition 2WD/4WD,2015,"","","",mpg,"",mpg,"","",Auto,SI,5.4,8,5.4L V8,"","","","","","","","",Ford,http://www.fordvehicles.com,E85_GSLN,Ethanol (E85),SUV,Flexible Fuel
11443,11,5,219,"",29,Explorer FWD/AWD,2015,"","",13.0,mpg,18.0,mpg,17.0,21.0,Auto,SI,3.5,6,3.5L V6,"","","","","","","","",Ford,http://www.fordvehicles.com,E85_GSLN,Ethanol (E85),SUV,Flexible Fuel
11445,11,5,219,"",25,F-150 2WD/4WD,2015,"","",11.0,mpg,16.0,mpg,15.0,22.0,Auto,SI,5.0,8,5.0L V8,"","","","","","","","",Ford,http://www.fordvehicles.com,E85_GSLN,Ethanol (E85),Truck,Flexible Fuel
11446,11,5,219,"",25,F-150 2WD/4WD,2015,"","",13.0,mpg,18.0,mpg,18.0,25.0,Auto,SI,3.5,6,3.5L V6,"","","","","","","","",Ford,http://www.fordvehicles.com,E85_GSLN,Ethanol (E85),Truck,Flexible Fuel
11347,41,1,219,"",27,Focus,2015,"","",110.0,Mpge,99.0,Mpge,"","",Auto,e-motor,107 kW,"","107 kW electric motor, 23 kWh battery","",23 kWh,"","","","","",76 mi all electric range,Ford,http://www.fordvehicles.com,ELEC,Electric,Sedan/Wagon,Dedicated
11441,11,5,219,"",27,Focus,2015,"","","","","","","","",Auto,SI,2.0,4,"2.0L I4
","","","","","","","","",Ford,http://www.fordvehicles.com,E85_GSLN,Ethanol (E85),Sedan/Wagon,Flexible Fuel
11335,57,9,219,"",27,Fusion Energi,2015,"","",88.0,Mpge Gas + Electric,"","",40.0,36.0,ECVT,"",2.0L,4,"2.0L I4, 68 kW electric motor","","","","","","","",20 mi est. all electric range,Ford,http://www.fordvehicles.com,PHEV,Plug-in Hybrid Electric,Sedan/Wagon,Hybrid Electric
11363,45,9,219,"",27,Fusion Hybrid,2015,"","","","","","",44.0,41.0,ECVT,SI,2.0,4,2.0L I4,"","","","","","","","",Ford,http://www.fordvehicles.com,HYBR,Hybrid Electric,Sedan/Wagon,Hybrid Electric
11439,11,5,219,"",27,Police Interceptor,2015,"","","","","","","","",Auto,SI,3.7,6,3.7L V6,"","","","","","","","",Ford,http://www.fordvehicles.com,E85_GSLN,Ethanol (E85),Sedan/Wagon,Flexible Fuel
11438,11,5,219,"",27,Police Interceptor,2015,"","","","","","","","",Auto,SI,3.5,6,3.5L V6,"","","","","","","","",Ford,http://www.fordvehicles.com,E85_GSLN,Ethanol (E85),Sedan/Wagon,Flexible Fuel
11440,11,5,219,"",29,Police Interceptor Utility,2015,"","","","","","","","",Auto,SI,3.7,6,3.7L V6,"","","","","","","","",Ford,http://www.fordvehicles.com,E85_GSLN,Ethanol (E85),SUV,Flexible Fuel
11449,11,5,219,"",25,Super Duty F-250/350,2015,"","","",mpg,"",mpg,"","",Auto,SI,6.2,8,6.2L V8,"","","","","","","","",Ford,http://www.fordvehicles.com,E85_GSLN,Ethanol (E85),Truck,Flexible Fuel
11311,3,1,219,"",25,Super Duty F-250/350,2015,"","","",mpg,"",mpg,"","",Auto,SI,6.2,8,6.2L V8 CNG/LPG Capable w/Prep Package,"","","","","","","","",Ford,http://www.fordvehicles.com,CNG,CNG - Compressed Natural Gas,Truck,Dedicated
11324,55,1,219,"",25,Super Duty F-250/350,2015,"","","",mpg,"",mpg,"","",Auto,SI,6.2,8,6.2L V8 CNG/LPG Capable w/Prep Package,"","","","","","","","",Ford,http://www.fordvehicles.com,LPG,Propane,Truck,Dedicated
11290,35,1,219,"",25,Super Duty F-250/350/450,2015,"","","",mpg,"",mpg,"","",Auto,Diesel,6.7,8,6.7L V8 Diesel,"","","","","","","","",Ford,http://www.fordvehicles.com,BD,Biodiesel (B20),Truck,Dedicated
11450,11,5,219,"",17,Super Duty F-350,2015,"","","",mpg,"",mpg,"","",Auto,SI,6.2,8,6.2L V8,"","","","","","","","",Ford,http://www.fordvehicles.com,E85_GSLN,Ethanol (E85),Vocational/Cab Chassis,Flexible Fuel
11325,55,1,219,"",17,Super Duty F-350/450/550,2015,"","","",mpg,"",mpg,"","",Auto,SI,6.8,10,6.8L V10 CNG/LPG Capable w/Prep Package,"","","","","","","","",Ford,http://www.fordvehicles.com,LPG,Propane,Vocational/Cab Chassis,Dedicated
11310,3,1,219,"",17,Super Duty F-350/450/550,2015,"","","",mpg,"",mpg,"","",Auto,SI,6.8,10,6.8L V10 CNG/LPG Capable w/Prep Package,"","","","","","","","",Ford,http://www.fordvehicles.com,CNG,CNG - Compressed Natural Gas,Vocational/Cab Chassis,Dedicated
11326,55,1,219,"",17,Super Duty F-350/450/550,2015,"","","",mpg,"",mpg,"","",Auto,SI,6.2,8,6.2L V8 CNG/LPG Capable w/Prep Package,"","","","","","","","",Ford,http://www.fordvehicles.com,LPG,Propane,Vocational/Cab Chassis,Dedicated
11309,3,1,219,"",17,Super Duty F-350/450/550,2015,"","","",mpg,"",mpg,"","",Auto,SI,6.2,8,6.2L V8 CNG/LPG Capable w/Prep Package,"","","","","","","","",Ford,http://www.fordvehicles.com,CNG,CNG - Compressed Natural Gas,Vocational/Cab Chassis,Dedicated
11291,35,1,219,"",17,Super Duty F-450/550/650,2015,"","","",mpg,"",mpg,"","",Auto,Diesel,6.7,8,6.7L V8 Diesel,"","","","","","","","",Ford,http://www.fordvehicles.com,BD,Biodiesel (B20),Vocational/Cab Chassis,Dedicated
11323,55,1,219,"",17,Super Duty F-650,2015,"","","",mpg,"",mpg,"","",Auto,SI,6.8,10,6.8L V10 CNG/LPG Capable w/Prep Package,"","","","","","","","",Ford,http://www.fordvehicles.com,LPG,Propane,Vocational/Cab Chassis,Dedicated
11312,3,1,219,"",17,Super Duty F-650,2015,"","","",mpg,"",mpg,"","",Auto,SI,6.8,10,6.8L V10 CNG/LPG Capable w/Prep Package,"","","","","","","","",Ford,http://www.fordvehicles.com,CNG,CNG - Compressed Natural Gas,Vocational/Cab Chassis,Dedicated
11442,11,5,219,"",27,Taurus FWD/AWD,2015,"","",13.0,mpg,21.0,mpg,19.0,29.0,Auto,SI,3.5,6,3.5L V6,"","","","","","","","",Ford,http://www.fordvehicles.com,E85_GSLN,Ethanol (E85),Sedan/Wagon,Flexible Fuel
11288,35,1,219,"",9,Transit 150/250/350,2015,"","","",mpg,"",mpg,"","",Auto,Diesel,3.2,5,3.2L I5 Diesel,"","","","","","","","",Ford,http://www.fordvehicles.com,BD,Biodiesel (B20),Van,Dedicated
11447,11,5,219,"",9,Transit 150/250/350,2015,"","",11.0,mpg,14.0,mpg,14.0,19.0,Auto,SI,3.7,6,3.7L V6,"","","","","","","","",Ford,http://www.fordvehicles.com,E85_GSLN,Ethanol (E85),Van,Flexible Fuel
11289,35,1,219,"",17,Transit 250/350,2015,"","","",mpg,"",mpg,"","",Auto,Diesel,3.2,5,3.2L I5 Diesel,"","","","","","","","",Ford,http://www.fordvehicles.com,BD,Biodiesel (B20),Vocational/Cab Chassis,Dedicated
11448,11,5,219,"",17,Transit 250/350,2015,"","","",mpg,"",mpg,"","",Auto,SI,3.7,6,3.7L V6,"","","","","","","","",Ford,http://www.fordvehicles.com,E85_GSLN,Ethanol (E85),Vocational/Cab Chassis,Flexible Fuel
11322,55,1,219,"",9,Transit Connect,2015,"","","",mpg,"",mpg,"","",Auto,SI,2.5,4,2.5L I4 CNG/LPG Capable w/Prep Package,"","","","","","","","",Ford,http://www.fordvehicles.com,LPG,Propane,Van,Dedicated
11313,3,1,219,"",9,Transit Connect,2015,"","","",mpg,"",mpg,"","",Auto,SI,2.5,4,2.5L I4 CNG/LPG Capable w/Prep Package,"","","","","","","","",Ford,http://www.fordvehicles.com,CNG,CNG - Compressed Natural Gas,Van,Dedicated
11321,55,1,219,"",17,Transit T-150/250/350,2015,"","","",mpg,"",mpg,"","",Auto,SI,3.7,6,3.7l V6 CNG/LPG Capable w/Prep Package,"","","","","","","","",Ford,http://www.fordvehicles.com,LPG,Propane,Vocational/Cab Chassis,Dedicated
11314,3,1,219,"",17,Transit T-150/250/350,2015,"","","",mpg,"",mpg,"","",Auto,SI,3.7,6,3.7l V6 CNG/LPG Capable w/Prep Package,"","","","","","","","",Ford,http://www.fordvehicles.com,CNG,CNG - Compressed Natural Gas,Vocational/Cab Chassis,Dedicated
11306,3,1,213,"",9,Savana 2500/3500,2015,"","","",mpg,"",mpg,"","",Auto,SI,6.0L,8,6.0L V8,"","","","","","","","",GMC,http://www.gmc.com,CNG,CNG - Compressed Natural Gas,Van,Dedicated
